Level|Normal|Nightmare|Hell
0	1	1	1
1	6	92	147
2	12	102	162
3	18	112	177
4	24	122	192
5	30	133	207
6	36	143	222
7	42	153	236
8	48	163	252
9	54	173	267
10	60	184	281
11	66	194 297
12	72	204	311
13	78	214	326
14	84	224	342
15	90	235	356
16	96	245	371
17	102	255	386
18	108	265	401
19	114	275	417
20	120	286	431
21	126	296	446
22	132	306	461
23	138	316	476
24	144	326	491
25	150	337	506
26	156	347	521
27	162	357	536
28	168	367	551
29	174	377	566
30	180	388	581
31	186	398	596
32	192	408	610
33	198	418	626
34	204	428	641
35	210	439	655
36	216	449	671
37	222	459	685
38	228	469	700
39	234	479	716
40	240	490	730
41	246	500	745
42	252	510	760
43	258	520	775
44	264	530	791
45	270	541	805
46	276	551	820
47	282	561	835
48	288	571	850
49	294	581	865
50	300	592	880
51	306	602	895
52	312	612	910
53	318	622	925
54	324	632	940
55	330	643	955
56	336	653	970
57	342	663	984
58	348	673	1000
59	354	683	1015
60	360	694	1029
61	366	704	1045
62	372	714	1059
63	378	724	1074
64	384	734	1090
65	390	745	1104
66	396	755	1119
67	402	765	1134
68	408	775	1149
69	414	785	1165
70	420	796	1179
71	426	806	1194
72	432	816	1209
73	438	826	1224
74	444	836	1239
75	450	847	1254
76	456	857	1269
77	462	867	1284
78	468	877	1299
79	474	887	1314
80	480	898	1329
81	486	908	1344
82	492	918	1358
83	498	928	1374
84	504	938	1389
85	510	949	1403
86	516	959	1419
87	522	969	1433
88	528	979	1448
89	534	989	1464
90	540	1000	1478
91	546	1010	1493
92	552	1020	1508
93	558	1030	1523
94	564	1040	1539
95	570	1051	1553
96	576	1061	1568
97	582	1071	1583
98	588	1081	1598
99	594	1091	1613
